productId,productName,category,manufacturer,price,unit,minOrderQty,stockQty,leadTimeDays,warehouseLocation,weight,dimensions,restrictedStates,applicableProjectTypes,certifications,ecoFriendly,recyclable,sustainableSource,warrantyYears,fireRating,installationDifficulty,description
P1000,Junction Box,Electrical,IndustryLeader,155.55,box,1,4750,25,MT,34.09,79x38.9x25.4,,Renovation;Industrial;Infrastructure,UL Listed,Yes,Yes,No,0,,Moderate,IndustryLeader Junction Box - Premium quality electrical product for construction projects.
P1001,Thermostat,HVAC,ConstructMax,2867.77,box,1,2774,22,WI,73.62,23.9x23.6x22.3,NH;FL;DE,Commercial;Residential,FSC Certified;LEED Certified,No,No,Yes,2,,Professional Required,ConstructMax Thermostat - Premium quality hvac product for construction projects.
P1002,Sink,Fixtures,ValueBuilders,61.58,ft,25,191,7,GA,197.52,23.3x7.1x28.8,SD,Renovation;Industrial,,No,Yes,No,0,Class B,Moderate,ValueBuilders Sink - Premium quality fixtures product for construction projects.
P1003,Entry Door,Doors,ProBuild,435.64,ft,1,2354,30,RI,66.36,117.1x44.5x10,NV;AK,Industrial;Commercial;Renovation,,No,No,No,25,,Easy,ProBuild Entry Door - Premium quality doors product for construction projects.
P1004,Treated Pine,Lumber,ProBuild,13.36,bundle,10,1950,1,NH,183.89,40.2x10.9x19.9,GA;ND;MD;OR,Commercial;Residential,LEED Certified,Yes,Yes,No,0,,Professional Required,ProBuild Treated Pine - Premium quality lumber product for construction projects.
P1005,Rebar,Concrete,PremiumPro,91.91,bundle,25,2933,5,OH,158.32,154.9x42.8x13.3,WV;LA,Residential;New Construction,,Yes,Yes,Yes,0,Class A,Professional Required,PremiumPro Rebar - Premium quality concrete product for construction projects.
P1006,Hinges,Hardware,QualityMaterials,130.59,ea,25,251,22,NH,91.03,69.7x22.8x5.9,MD;OR,Industrial;Renovation;Infrastructure,LEED Certified,No,No,Yes,25,Class C,Easy,QualityMaterials Hinges - Premium quality hardware product for construction projects.
P1007,Metal Stud,Steel,IndustryLeader,265.68,bundle,50,1488,17,IL,160.81,152.2x18.9x15.2,WI;AK,New Construction;Renovation;Residential;Infrastructure,LEED Certified;FSC Certified,Yes,Yes,Yes,0,Class B,Complex,IndustryLeader Metal Stud - Premium quality steel product for construction projects.
P1008,Metal Stud,Steel,ProBuild,362.12,box,100,412,7,NV,38.21,150.9x30.7x6.1,TN;NV;UT;MD,Residential;Industrial,Green Guard,No,No,No,2,,Complex,ProBuild Metal Stud - Premium quality steel product for construction projects.
P1009,TPO Membrane,Roofing,BuildCo,57.81,bundle,50,789,4,OK,28.74,68.3x40.4x15.7,NV;ND,Residential;Commercial;Infrastructure,ISO 9001;UL Listed,Yes,Yes,Yes,1,Class A,Complex,BuildCo TPO Membrane - Premium quality roofing product for construction projects.
P1010,Garage Door,Doors,BuildCo,844.85,sqft,25,2872,26,MS,174.52,99.3x41.4x39.5,,New Construction;Residential,CE Marked,No,No,Yes,25,Class C,Easy,BuildCo Garage Door - Premium quality doors product for construction projects.
P1011,Steel Beam,Steel,PremiumPro,107.68,box,50,3828,21,GA,83.36,139.3x6.6x10.2,AZ;AR;VA,Residential;New Construction;Industrial;Infrastructure,,No,No,No,2,,Complex,PremiumPro Steel Beam - Premium quality steel product for construction projects.
P1012,Cellulose,Insulation,BuildCo,93.63,ft,25,1437,6,SC,109.65,39.7x23.2x38.7,OK;KS,Renovation;New Construction,UL Listed,No,No,Yes,5,Class B,Complex,BuildCo Cellulose - Premium quality insulation product for construction projects.
P1013,Moisture Resistant,Drywall,MegaSupply,152.13,box,50,2008,28,NE,130.31,143x21.2x50.4,CO,Residential;Infrastructure;Industrial,Energy Star,No,No,No,0,Class C,Easy,MegaSupply Moisture Resistant - Premium quality drywall product for construction projects.
P1014,Level,Tools,IndustryLeader,128.06,ft,1,2905,28,LA,135.82,51.9x7.4x12.2,TX;ND;MT,Infrastructure;Renovation,UL Listed;CE Marked,No,No,Yes,5,Class A,Easy,IndustryLeader Level - Premium quality tools product for construction projects.
P1015,Ready Mix,Concrete,MegaSupply,40.86,sqft,50,2488,7,SD,183.33,56.7x45.3x42.1,,New Construction;Commercial;Infrastructure,CE Marked,No,Yes,Yes,2,Class A,Easy,MegaSupply Ready Mix - Premium quality concrete product for construction projects.
P1016,Cedar Decking,Lumber,ProBuild,53.06,ft,50,3876,3,AZ,31.87,19.8x25x6.7,,New Construction,LEED Certified,No,No,Yes,25,Class C,Easy,ProBuild Cedar Decking - Premium quality lumber product for construction projects.
P1017,Shower Head,Fixtures,EcoConstruct,40.32,sqft,50,558,14,SC,82.71,60.7x32.7x31.9,RI;MS,New Construction;Residential;Industrial,LEED Certified;UL Listed,Yes,No,Yes,2,,Moderate,EcoConstruct Shower Head - Premium quality fixtures product for construction projects.
P1018,Entry Door,Doors,ValueBuilders,529.9,sqft,50,1061,22,CA,61.82,74.8x6x29.8,,Commercial;Renovation;New Construction,ISO 9001,No,No,Yes,25,Class A,Complex,ValueBuilders Entry Door - Premium quality doors product for construction projects.
P1019,Light Fixture,Electrical,BuildCo,229.33,ft,50,5069,9,LA,146.43,70.5x51.7x7.4,MD;CT;FL,Renovation;Industrial,Green Guard,No,No,Yes,25,,Moderate,BuildCo Light Fixture - Premium quality electrical product for construction projects.
P1020,PEX Tubing,Plumbing,MegaSupply,254.71,ea,10,4369,2,NH,142.16,128.5x33.3x20.8,,New Construction;Infrastructure;Renovation,,No,No,Yes,2,,Moderate,MegaSupply PEX Tubing - Premium quality plumbing product for construction projects.
P1021,Treated Pine,Lumber,MegaSupply,44.01,ea,50,4568,4,RI,36.37,68.2x13.8x50.5,WY;OR,New Construction;Residential,,No,No,No,25,Class A,Complex,MegaSupply Treated Pine - Premium quality lumber product for construction projects.
P1022,Toilet,Fixtures,BuildCo,259.12,ft,50,4468,26,ME,144.35,152.3x20.7x20.4,OR;UT,New Construction;Renovation,,Yes,No,No,5,Class C,Easy,BuildCo Toilet - Premium quality fixtures product for construction projects.
P1023,TPO Membrane,Roofing,ConstructMax,28.47,ea,100,4602,18,NH,195.12,133.5x19.1x50.1,NJ;MI;OK,Infrastructure;Renovation,ASTM Compliant,No,Yes,No,25,Class B,Professional Required,ConstructMax TPO Membrane - Premium quality roofing product for construction projects.
P1024,Ceramic Tile,Flooring,BuildCo,248.88,box,1,1250,8,RI,134.53,104.3x51.6x23.4,LA;ME;ND,Renovation;Commercial,Green Guard,No,No,Yes,2,,Complex,BuildCo Ceramic Tile - Premium quality flooring product for construction projects.
P1025,Precast Panel,Concrete,TrustedBrand,75.47,sqft,10,3408,8,DE,31.72,105.9x11.7x29.2,,Renovation;New Construction;Residential,ISO 9001;ASTM Compliant,Yes,No,Yes,2,Class A,Complex,TrustedBrand Precast Panel - Premium quality concrete product for construction projects.
P1026,Rigid Foam Board,Insulation,IndustryLeader,25.83,sqft,25,3880,26,HI,73.45,152x17.3x23.4,CO;UT;NJ;TN,Commercial;Renovation,,No,Yes,No,0,Class A,Professional Required,IndustryLeader Rigid Foam Board - Premium quality insulation product for construction projects.
P1027,4x4,Lumber,BuildCo,8.82,bundle,10,4832,1,SC,20.7,81.4x4.3x15.3,,Residential;Industrial;New Construction,FSC Certified,No,No,No,2,Class B,Professional Required,BuildCo 4x4 - Premium quality lumber product for construction projects.
P1028,Cedar Decking,Lumber,ConstructMax,44.32,sqft,10,4760,21,NV,164.99,132.2x30.9x32.3,,Residential;Infrastructure;Commercial;New Construction,ISO 9001,No,Yes,Yes,1,Class C,Professional Required,ConstructMax Cedar Decking - Premium quality lumber product for construction projects.
P1029,Copper Pipe,Plumbing,PremiumPro,272.53,bundle,10,231,11,WA,85.39,128.8x47.1x47.9,ND,New Construction;Infrastructure,,No,Yes,Yes,0,Class B,Easy,PremiumPro Copper Pipe - Premium quality plumbing product for construction projects.
P1030,Hardwood,Flooring,ValueBuilders,126.46,bundle,25,868,9,AZ,176.16,114x17.3x24.4,TX,Infrastructure;Renovation,ASTM Compliant,No,No,Yes,0,Class A,Easy,ValueBuilders Hardwood - Premium quality flooring product for construction projects.
P1031,Rebar,Concrete,PremiumPro,70.39,sqft,10,2190,10,NH,12.57,14x38.5x24.2,MN;PA;NJ;WI,Industrial;New Construction;Residential;Commercial,Energy Star;ISO 9001,No,Yes,No,0,,Moderate,PremiumPro Rebar - Premium quality concrete product for construction projects.
P1032,Conduit,Electrical,ValueBuilders,123.16,box,25,3322,22,WV,136.15,73.9x47.7x45.7,,Infrastructure;Residential;Industrial,,No,No,No,10,Class A,Complex,ValueBuilders Conduit - Premium quality electrical product for construction projects.
P1033,Exterior Acrylic,Paint,ValueBuilders,80.62,ea,100,529,6,KY,90.34,43.8x45.8x20.9,,New Construction;Infrastructure;Industrial,ASTM Compliant,Yes,Yes,No,5,Class C,Complex,ValueBuilders Exterior Acrylic - Premium quality paint product for construction projects.
P1034,Sliding,Windows,PremiumPro,212.13,ea,10,763,19,NM,168.8,33.5x50.8x23.1,NH;CO;DE,Renovation,ISO 9001,No,No,No,2,Class B,Easy,PremiumPro Sliding - Premium quality windows product for construction projects.
P1035,Ventilation Fan,HVAC,TrustedBrand,671.94,bundle,100,287,27,GA,151.91,28.5x36.9x16.4,,Infrastructure;Renovation,,No,No,Yes,2,,Professional Required,TrustedBrand Ventilation Fan - Premium quality hvac product for construction projects.
P1036,Hardwood,Flooring,ValueBuilders,231.34,sqft,1,1103,30,NH,164.87,134.3x45.9x50.4,MA,Renovation;Industrial,FSC Certified,Yes,Yes,No,10,Class B,Easy,ValueBuilders Hardwood - Premium quality flooring product for construction projects.
P1037,Vinyl Plank,Flooring,PremiumPro,278.7,bundle,10,5072,10,MA,183.99,20.7x5.5x11,SD;DE;PA,Infrastructure;New Construction;Commercial;Residential,CE Marked,Yes,No,Yes,5,Class B,Moderate,PremiumPro Vinyl Plank - Premium quality flooring product for construction projects.
P1038,Rebar,Concrete,IndustryLeader,42.61,ea,1,1654,2,WA,17.97,61.9x38x18.3,HI,New Construction;Industrial,ASTM Compliant;ISO 9001,No,No,No,1,Class A,Complex,IndustryLeader Rebar - Premium quality concrete product for construction projects.
P1039,Saw,Tools,TrustedBrand,26.66,ea,10,2831,20,MN,127.82,144.7x38.8x12.7,NY;TN;MS,Industrial;Commercial;Residential,LEED Certified,No,Yes,Yes,1,Class B,Professional Required,TrustedBrand Saw - Premium quality tools product for construction projects.
P1040,Asphalt Shingle,Roofing,BuildCo,223.32,ea,50,2105,27,RI,190.47,68x46.2x51.7,NV;ME,Industrial;Renovation;Infrastructure;Commercial,,No,No,No,1,,Professional Required,BuildCo Asphalt Shingle - Premium quality roofing product for construction projects.
